Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"USB3DN_RX1A_N","OffPage","Downstream_Ports","3","SCHEMATIC1","U4.B10","580","250","4D","1"
"PF15","OffPage","Power_Switch","5","SCHEMATIC1","R78.2","290","260","5D","1"
"PF15","OffPage","Interface","1","SCHEMATIC1","U7.58","790","930","3B","5"
"USB3DN_TX3_P","OffPage","Interface","1","SCHEMATIC1","U7.36","1350","870","2B","3"
"USB3DN_TX3_P","OffPage","Downstream_Ports","3","SCHEMATIC1","C63.1,C63.2,J3.9","1480","480","2C","1"
"USB3DN_RX1B_N","OffPage","Interface","1","SCHEMATIC1","U7.20","1350","710","2C","3"
"USB3DN_RX1B_N","OffPage","Downstream_Ports","3","SCHEMATIC1","U4.A11","580","270","4D","1"
"USB3DN_RX3_P","OffPage","Interface","1","SCHEMATIC1","U7.39","1350","900","2B","3"
"USB3DN_RX3_P","OffPage","Downstream_Ports","3","SCHEMATIC1","J3.6","1480","450","2C","1"
"PF14","OffPage","Power_Switch","5","SCHEMATIC1","R84.2","250","630","5C","1"
"PF14","OffPage","Interface","1","SCHEMATIC1","U7.57","790","920","3B","5"
"DP1_CC2","OffPage","Interface","1","SCHEMATIC1","U7.13","1350","580","2C","3"
"DP1_CC2","OffPage","Downstream_Ports","3","SCHEMATIC1","R58.1,U4.B8","670","420","4C","1"
"PF17","OffPage","Power_Switch","5","SCHEMATIC1","R74.2","290","230","5D","1"
"PF17","OffPage","Interface","1","SCHEMATIC1","U7.60","790","950","3B","5"
